"partid","item","sentence","construct","classification","IO","counter","group","Value","zscores"
"63bdd0745fa04b7ce44bb161","155","Linda shoved a man who was from work a letter.","DOsentence","alternating","longIndefinite",5,"F",45,-0.237332488882586
"63bdd0745fa04b7ce44bb161","7","Alice described a headline to a woman.","PDsentence","non-alternating","shortIndefinite",5,"F",85,1.02675533472639
"63bdd0745fa04b7ce44bb161","47","Juan conveyed a thought to a man from work.","PDsentence","non-alternating","longIndefinite",5,"F",78,0.805539965594823
"63bdd0745fa04b7ce44bb161","55","Alice groaned a reply to a man.","PDsentence","non-alternating","shortIndefinite",5,"F",70,0.552722400873027
"63bdd0745fa04b7ce44bb161","63","Alice murmured a comment to a woman from work.","PDsentence","non-alternating","longIndefinite",5,"F",83,0.963550943545946
"63bdd0745fa04b7ce44bb161","11","Alice presented a man a painting.","DOsentence","non-alternating","shortIndefinite",5,"F",90,1.18476631267752
"63bdd0745fa04b7ce44bb161","119","Juan threw a soda to a woman wearing a hat.","PDsentence","alternating","longIndefinite",5,"F",40,-0.395343466833709
"63bdd0745fa04b7ce44bb161","179","Mary heaved a man a ball.","DOsentence","alternating","shortIndefinite",5,"F",49,-0.110923706521688
"63bdd0745fa04b7ce44bb161","75","Juan grumbled a man a name.","DOsentence","non-alternating","shortIndefinite",5,"F",38,-0.458547858014158
"63bdd0745fa04b7ce44bb161","167","Alice chucked a bag to a woman who was wearing a hat.","PDsentence","alternating","longIndefinite",5,"F",75,0.71073337882415
"63bdd0745fa04b7ce44bb161","19","Juan expressed a man who was wearing a hat a thought.","DOsentence","non-alternating","longIndefinite",5,"F",15,-1.18539835658932
"63bdd0745fa04b7ce44bb161","31","Maria shouted a name to a woman wearing a hat.","PDsentence","non-alternating","longIndefinite",5,"F",76,0.742335574414374
"63bdd0745fa04b7ce44bb161","87","Maria screeched a thought to a man.","PDsentence","non-alternating","shortIndefinite",5,"F",66,0.426313618512129
"63bdd0745fa04b7ce44bb161","147","Michael shipped a man a box.","DOsentence","alternating","shortIndefinite",5,"F",84,0.99515313913617
"63bdd0745fa04b7ce44bb161","183","Linda loaned some equipment to a man from work.","PDsentence","alternating","longIndefinite",5,"F",90,1.18476631267752
"63bdd0745fa04b7ce44bb161","151","Alice signaled a formation to a woman from work.","PDsentence","alternating","longIndefinite",5,"F",20,-1.0273873786382
"63bdd0745fa04b7ce44bb161","107","Maria brought a woman who was wearing a hat a blanket.","DOsentence","alternating","longIndefinite",5,"F",54,0.0470872714294346
"63bdd0745fa04b7ce44bb161","143","Michael floated a bottle to a woman.","PDsentence","alternating","shortIndefinite",5,"F",78,0.805539965594823
"63bdd0745fa04b7ce44bb161","51","Maria surrendered a woman wearing a hat some guns.","DOsentence","non-alternating","longIndefinite",5,"F",36,-0.521752249194607
"63bdd0745fa04b7ce44bb161","195","Linda bequeathed a man a portrait.","DOsentence","alternating","shortIndefinite",5,"F",93,1.27957289944819
"63bdd0745fa04b7ce44bb161","3","Michael reported a man who was from work some numbers.","DOsentence","non-alternating","longIndefinite",5,"F",33,-0.61655883596528
"63bdd0745fa04b7ce44bb161","79","Alice grunted a name to a man who was from work.","PDsentence","non-alternating","longIndefinite",5,"F",80,0.868744356775272
"63bdd0745fa04b7ce44bb161","123","Linda flew a team from work some weapons.","DOsentence","alternating","longIndefinite",5,"F",80,0.868744356775272
"63bdd0745fa04b7ce44bb161","91","John cackled a man some noises.","DOsentence","non-alternating","shortIndefinite",5,"F",23,-0.932580791867526
"63bdd0745fa04b7ce44bb161","187","Mary lugged a woman from work some groceries.","DOsentence","alternating","longIndefinite",5,"F",14,-1.21700055217955
"63bdd0745fa04b7ce44bb161","127","Michael kicked a football to a woman.","PDsentence","alternating","shortIndefinite",5,"F",85,1.02675533472639
"63bdd0745fa04b7ce44bb161","159","John willed a painting to a man.","PDsentence","alternating","shortIndefinite",5,"F",93,1.27957289944819
"63bdd0745fa04b7ce44bb161","171","Alice wheeled a man wearing a hat some fruit.","DOsentence","alternating","longIndefinite",5,"F",74,0.679131183233925
"63bdd0745fa04b7ce44bb161","23","Maria recommended a band to a woman.","PDsentence","non-alternating","shortIndefinite",5,"F",86,1.05835753031662
"63bdd0745fa04b7ce44bb161","59","Michael recounted a man some information.","DOsentence","non-alternating","shortIndefinite",5,"F",55,0.0786894670196591
"63bdd0745fa04b7ce44bb161","83","Bob squealed a woman from work an answer.","DOsentence","non-alternating","longIndefinite",5,"F",51,-0.047719315341239
"63bdd0745fa04b7ce44bb161","175","John faxed a form to a woman.","PDsentence","alternating","shortIndefinite",5,"F",89,1.15316411708729
"63bdd0745fa04b7ce44bb161","67","Alice dispatched a team from work some meals.","DOsentence","non-alternating","longIndefinite",5,"F",61,0.268302640561006
"63bdd0745fa04b7ce44bb161","43","Bob donated a team a painting.","DOsentence","non-alternating","shortIndefinite",5,"F",81,0.900346552365497
"603db29d1c38decc254d8149","87","Maria screeched a thought to a man.","PDsentence","non-alternating","shortIndefinite",5,"F",78,0.733734253295932
"603db29d1c38decc254d8149","91","John cackled a man some noises.","DOsentence","non-alternating","shortIndefinite",5,"F",3,-1.11850637266149
"603db29d1c38decc254d8149","35","Linda communicated a woman from work a point.","DOsentence","non-alternating","longIndefinite",5,"F",25,-0.575182455713977
"603db29d1c38decc254d8149","31","Maria shouted a name to a woman wearing a hat.","PDsentence","non-alternating","longIndefinite",5,"F",99,1.25236162856401
"603db29d1c38decc254d8149","199","Michael catapulted a container to a man who was wearing a hat.","PDsentence","alternating","longIndefinite",5,"F",98,1.22766508688458
"603db29d1c38decc254d8149","95","Bob stammered a thought to a woman wearing a hat.","PDsentence","non-alternating","longIndefinite",5,"F",99,1.25236162856401
"603db29d1c38decc254d8149","187","Mary lugged a woman from work some groceries.","DOsentence","alternating","longIndefinite",5,"F",16,-0.797451330828867
"603db29d1c38decc254d8149","71","John furnished some forms to a team.","PDsentence","non-alternating","shortIndefinite",5,"F",9,-0.970327122584892
"603db29d1c38decc254d8149","115","Bob hit a woman a curveball.","DOsentence","alternating","shortIndefinite",5,"F",24,-0.599878997393409
"603db29d1c38decc254d8149","163","Maria phoned a woman a request.","DOsentence","alternating","shortIndefinite",5,"F",41,-0.180037788843061
"603db29d1c38decc254d8149","159","John willed a painting to a man.","PDsentence","alternating","shortIndefinite",5,"F",32,-0.402306663957951
"603db29d1c38decc254d8149","23","Maria recommended a band to a woman.","PDsentence","non-alternating","shortIndefinite",5,"F",57,0.215106878027855
"603db29d1c38decc254d8149","59","Michael recounted a man some information.","DOsentence","non-alternating","shortIndefinite",5,"F",10,-0.94563058090546
"603db29d1c38decc254d8149","111","Alice offered a payment to a woman.","PDsentence","alternating","shortIndefinite",5,"F",99,1.25236162856401
"603db29d1c38decc254d8149","139","Mary assigned a woman who was from work a desk.","DOsentence","alternating","longIndefinite",5,"F",99,1.25236162856401
"603db29d1c38decc254d8149","3","Michael reported a man who was from work some numbers.","DOsentence","non-alternating","longIndefinite",5,"F",77,0.709037711616499
"603db29d1c38decc254d8149","79","Alice grunted a name to a man who was from work.","PDsentence","non-alternating","longIndefinite",5,"F",93,1.10418237848741
"603db29d1c38decc254d8149","151","Alice signaled a formation to a woman from work.","PDsentence","alternating","longIndefinite",5,"F",13,-0.871540955867163
"603db29d1c38decc254d8149","195","Linda bequeathed a man a portrait.","DOsentence","alternating","shortIndefinite",5,"F",9,-0.970327122584892
"603db29d1c38decc254d8149","175","John faxed a form to a woman.","PDsentence","alternating","shortIndefinite",5,"F",99,1.25236162856401
"603db29d1c38decc254d8149","47","Juan conveyed a thought to a man from work.","PDsentence","non-alternating","longIndefinite",5,"F",94,1.12887892016685
"603db29d1c38decc254d8149","19","Juan expressed a man who was wearing a hat a thought.","DOsentence","non-alternating","longIndefinite",5,"F",6,-1.04441674762319
"603db29d1c38decc254d8149","99","John warbled a man from work a greeting.","DOsentence","non-alternating","longIndefinite",5,"F",2,-1.14320291434092
"603db29d1c38decc254d8149","147","Michael shipped a man a box.","DOsentence","alternating","shortIndefinite",5,"F",57,0.215106878027855
"603db29d1c38decc254d8149","123","Linda flew a team from work some weapons.","DOsentence","alternating","longIndefinite",5,"F",9,-0.970327122584892
"603db29d1c38decc254d8149","155","Linda shoved a man who was from work a letter.","DOsentence","alternating","longIndefinite",5,"F",3,-1.11850637266149
"603db29d1c38decc254d8149","51","Maria surrendered a woman wearing a hat some guns.","DOsentence","non-alternating","longIndefinite",5,"F",9,-0.970327122584892
"603db29d1c38decc254d8149","55","Alice groaned a reply to a man.","PDsentence","non-alternating","shortIndefinite",5,"F",90,1.03009275344912
"603db29d1c38decc254d8149","143","Michael floated a bottle to a woman.","PDsentence","alternating","shortIndefinite",5,"F",25,-0.575182455713977
"603db29d1c38decc254d8149","171","Alice wheeled a man wearing a hat some fruit.","DOsentence","alternating","longIndefinite",5,"F",3,-1.11850637266149
"603db29d1c38decc254d8149","131","John slipped a woman a pill.","DOsentence","alternating","shortIndefinite",5,"F",1,-1.16789945602035
"603db29d1c38decc254d8149","27","Mary proposed a man an idea.","DOsentence","non-alternating","shortIndefinite",5,"F",96,1.17827200352571
"603db29d1c38decc254d8149","119","Juan threw a soda to a woman wearing a hat.","PDsentence","alternating","longIndefinite",5,"F",99,1.25236162856401
"603db29d1c38decc254d8149","167","Alice chucked a bag to a woman who was wearing a hat.","PDsentence","alternating","longIndefinite",5,"F",97,1.20296854520514
"603db29d1c38decc254d8149","67","Alice dispatched a team from work some meals.","DOsentence","non-alternating","longIndefinite",5,"F",3,-1.11850637266149
"603db29d1c38decc254d8149","191","Maria carted some books to a team.","PDsentence","alternating","shortIndefinite",5,"F",5,-1.06911328930262
"603db29d1c38decc254d8149","83","Bob squealed a woman from work an answer.","DOsentence","non-alternating","longIndefinite",5,"F",4,-1.09380983098205
"603db29d1c38decc254d8149","179","Mary heaved a man a ball.","DOsentence","alternating","shortIndefinite",5,"F",2,-1.14320291434092
"603db29d1c38decc254d8149","103","Michael gave a message to a man wearing a hat.","PDsentence","alternating","longIndefinite",5,"F",94,1.12887892016685
"603db29d1c38decc254d8149","75","Juan grumbled a man a name.","DOsentence","non-alternating","shortIndefinite",5,"F",0,-1.19259599769978
"603db29d1c38decc254d8149","11","Alice presented a man a painting.","DOsentence","non-alternating","shortIndefinite",5,"F",97,1.20296854520514
"603db29d1c38decc254d8149","15","Alice admitted a slip-up to a man who was wearing a hat.","PDsentence","non-alternating","longIndefinite",5,"F",96,1.17827200352571
"603db29d1c38decc254d8149","107","Maria brought a woman who was wearing a hat a blanket.","DOsentence","alternating","longIndefinite",5,"F",94,1.12887892016685
"603db29d1c38decc254d8149","43","Bob donated a team a painting.","DOsentence","non-alternating","shortIndefinite",5,"F",93,1.10418237848741
"603db29d1c38decc254d8149","39","Michael snapped a comment to a man.","PDsentence","non-alternating","shortIndefinite",5,"F",94,1.12887892016685
"603db29d1c38decc254d8149","127","Michael kicked a football to a woman.","PDsentence","alternating","shortIndefinite",5,"F",98,1.22766508688458
"603db29d1c38decc254d8149","135","Linda owed a job to a woman wearing a hat.","PDsentence","alternating","longIndefinite",5,"F",96,1.17827200352571
"603db29d1c38decc254d8149","183","Linda loaned some equipment to a man from work.","PDsentence","alternating","longIndefinite",5,"F",99,1.25236162856401
"603db29d1c38decc254d8149","63","Alice murmured a comment to a woman from work.","PDsentence","non-alternating","longIndefinite",5,"F",78,0.733734253295932
"603db29d1c38decc254d8149","7","Alice described a headline to a woman.","PDsentence","non-alternating","shortIndefinite",5,"F",99,1.25236162856401
"6537d3aef0f4a4896f7c3ae9","147","Michael shipped a man a box.","DOsentence","alternating","shortIndefinite",5,"F",99,0.959783701504126
"6537d3aef0f4a4896f7c3ae9","99","John warbled a man from work a greeting.","DOsentence","non-alternating","longIndefinite",5,"F",1,-1.20050115718683
"6537d3aef0f4a4896f7c3ae9","67","Alice dispatched a team from work some meals.","DOsentence","non-alternating","longIndefinite",5,"F",5,-1.11232626499536
"6537d3aef0f4a4896f7c3ae9","19","Juan expressed a man who was wearing a hat a thought.","DOsentence","non-alternating","longIndefinite",5,"F",16,-0.869845311468829
"6537d3aef0f4a4896f7c3ae9","143","Michael floated a bottle to a woman.","PDsentence","alternating","shortIndefinite",5,"F",12,-0.958020203660296
"6537d3aef0f4a4896f7c3ae9","119","Juan threw a soda to a woman wearing a hat.","PDsentence","alternating","longIndefinite",5,"F",99,0.959783701504126
"6537d3aef0f4a4896f7c3ae9","175","John faxed a form to a woman.","PDsentence","alternating","shortIndefinite",5,"F",99,0.959783701504126
"6537d3aef0f4a4896f7c3ae9","139","Mary assigned a woman who was from work a desk.","DOsentence","alternating","longIndefinite",5,"F",68,0.276428287020251
"6537d3aef0f4a4896f7c3ae9","47","Juan conveyed a thought to a man from work.","PDsentence","non-alternating","longIndefinite",5,"F",94,0.849565086264791
"6537d3aef0f4a4896f7c3ae9","11","Alice presented a man a painting.","DOsentence","non-alternating","shortIndefinite",5,"F",90,0.761390194073323
"6537d3aef0f4a4896f7c3ae9","15","Alice admitted a slip-up to a man who was wearing a hat.","PDsentence","non-alternating","longIndefinite",5,"F",95,0.871608809312658
"6537d3aef0f4a4896f7c3ae9","7","Alice described a headline to a woman.","PDsentence","non-alternating","shortIndefinite",5,"F",48,-0.164446173937087
"6537d3aef0f4a4896f7c3ae9","43","Bob donated a team a painting.","DOsentence","non-alternating","shortIndefinite",5,"F",94,0.849565086264791
"6537d3aef0f4a4896f7c3ae9","127","Michael kicked a football to a woman.","PDsentence","alternating","shortIndefinite",5,"F",99,0.959783701504126
"6537d3aef0f4a4896f7c3ae9","159","John willed a painting to a man.","PDsentence","alternating","shortIndefinite",5,"F",99,0.959783701504126
"6537d3aef0f4a4896f7c3ae9","171","Alice wheeled a man wearing a hat some fruit.","DOsentence","alternating","longIndefinite",5,"F",92,0.805477640169057
"6537d3aef0f4a4896f7c3ae9","87","Maria screeched a thought to a man.","PDsentence","non-alternating","shortIndefinite",5,"F",99,0.959783701504126
"6537d3aef0f4a4896f7c3ae9","195","Linda bequeathed a man a portrait.","DOsentence","alternating","shortIndefinite",5,"F",0,-1.2225448802347
"6537d3aef0f4a4896f7c3ae9","183","Linda loaned some equipment to a man from work.","PDsentence","alternating","longIndefinite",5,"F",99,0.959783701504126
"6537d3aef0f4a4896f7c3ae9","103","Michael gave a message to a man wearing a hat.","PDsentence","alternating","longIndefinite",5,"F",99,0.959783701504126
"6537d3aef0f4a4896f7c3ae9","27","Mary proposed a man an idea.","DOsentence","non-alternating","shortIndefinite",5,"F",91,0.78343391712119
"6537d3aef0f4a4896f7c3ae9","107","Maria brought a woman who was wearing a hat a blanket.","DOsentence","alternating","longIndefinite",5,"F",99,0.959783701504126
"6537d3aef0f4a4896f7c3ae9","59","Michael recounted a man some information.","DOsentence","non-alternating","shortIndefinite",5,"F",0,-1.2225448802347
"6537d3aef0f4a4896f7c3ae9","115","Bob hit a woman a curveball.","DOsentence","alternating","shortIndefinite",5,"F",0,-1.2225448802347
"6537d3aef0f4a4896f7c3ae9","63","Alice murmured a comment to a woman from work.","PDsentence","non-alternating","longIndefinite",5,"F",99,0.959783701504126
"6537d3aef0f4a4896f7c3ae9","187","Mary lugged a woman from work some groceries.","DOsentence","alternating","longIndefinite",5,"F",99,0.959783701504126
"6537d3aef0f4a4896f7c3ae9","155","Linda shoved a man who was from work a letter.","DOsentence","alternating","longIndefinite",5,"F",0,-1.2225448802347
"6537d3aef0f4a4896f7c3ae9","39","Michael snapped a comment to a man.","PDsentence","non-alternating","shortIndefinite",5,"F",99,0.959783701504126
"6537d3aef0f4a4896f7c3ae9","55","Alice groaned a reply to a man.","PDsentence","non-alternating","shortIndefinite",5,"F",99,0.959783701504126
"6537d3aef0f4a4896f7c3ae9","79","Alice grunted a name to a man who was from work.","PDsentence","non-alternating","longIndefinite",5,"F",91,0.78343391712119
"6537d3aef0f4a4896f7c3ae9","83","Bob squealed a woman from work an answer.","DOsentence","non-alternating","longIndefinite",5,"F",0,-1.2225448802347
"6537d3aef0f4a4896f7c3ae9","23","Maria recommended a band to a woman.","PDsentence","non-alternating","shortIndefinite",5,"F",99,0.959783701504126
"6537d3aef0f4a4896f7c3ae9","135","Linda owed a job to a woman wearing a hat.","PDsentence","alternating","longIndefinite",5,"F",99,0.959783701504126
"6537d3aef0f4a4896f7c3ae9","75","Juan grumbled a man a name.","DOsentence","non-alternating","shortIndefinite",5,"F",0,-1.2225448802347
"6537d3aef0f4a4896f7c3ae9","167","Alice chucked a bag to a woman who was wearing a hat.","PDsentence","alternating","longIndefinite",5,"F",99,0.959783701504126
"6537d3aef0f4a4896f7c3ae9","51","Maria surrendered a woman wearing a hat some guns.","DOsentence","non-alternating","longIndefinite",5,"F",0,-1.2225448802347
"6537d3aef0f4a4896f7c3ae9","91","John cackled a man some noises.","DOsentence","non-alternating","shortIndefinite",5,"F",0,-1.2225448802347
"6537d3aef0f4a4896f7c3ae9","111","Alice offered a payment to a woman.","PDsentence","alternating","shortIndefinite",5,"F",99,0.959783701504126
"6537d3aef0f4a4896f7c3ae9","3","Michael reported a man who was from work some numbers.","DOsentence","non-alternating","longIndefinite",5,"F",0,-1.2225448802347
"6537d3aef0f4a4896f7c3ae9","191","Maria carted some books to a team.","PDsentence","alternating","shortIndefinite",5,"F",99,0.959783701504126
"6537d3aef0f4a4896f7c3ae9","163","Maria phoned a woman a request.","DOsentence","alternating","shortIndefinite",5,"F",99,0.959783701504126
"6537d3aef0f4a4896f7c3ae9","71","John furnished some forms to a team.","PDsentence","non-alternating","shortIndefinite",5,"F",0,-1.2225448802347
"6537d3aef0f4a4896f7c3ae9","123","Linda flew a team from work some weapons.","DOsentence","alternating","longIndefinite",5,"F",99,0.959783701504126
"6537d3aef0f4a4896f7c3ae9","131","John slipped a woman a pill.","DOsentence","alternating","shortIndefinite",5,"F",99,0.959783701504126
"6537d3aef0f4a4896f7c3ae9","31","Maria shouted a name to a woman wearing a hat.","PDsentence","non-alternating","longIndefinite",5,"F",99,0.959783701504126
"6537d3aef0f4a4896f7c3ae9","199","Michael catapulted a container to a man who was wearing a hat.","PDsentence","alternating","longIndefinite",5,"F",99,0.959783701504126
"6537d3aef0f4a4896f7c3ae9","151","Alice signaled a formation to a woman from work.","PDsentence","alternating","longIndefinite",5,"F",0,-1.2225448802347
"6537d3aef0f4a4896f7c3ae9","179","Mary heaved a man a ball.","DOsentence","alternating","shortIndefinite",5,"F",99,0.959783701504126
"6537d3aef0f4a4896f7c3ae9","95","Bob stammered a thought to a woman wearing a hat.","PDsentence","non-alternating","longIndefinite",5,"F",99,0.959783701504126
"6537d3aef0f4a4896f7c3ae9","35","Linda communicated a woman from work a point.","DOsentence","non-alternating","longIndefinite",5,"F",76,0.452778071403187
"5b92b49921e7200001f530a0","147","Michael shipped a man a box.","DOsentence","alternating","shortIndefinite",5,"F",99,1.23688149156936
"5b92b49921e7200001f530a0","67","Alice dispatched a team from work some meals.","DOsentence","non-alternating","longIndefinite",5,"F",16,-1.28055754227706
"5b92b49921e7200001f530a0","91","John cackled a man some noises.","DOsentence","non-alternating","shortIndefinite",5,"F",13,-1.37154931458476
"5b92b49921e7200001f530a0","131","John slipped a woman a pill.","DOsentence","alternating","shortIndefinite",5,"F",99,1.23688149156936
"5b92b49921e7200001f530a0","63","Alice murmured a comment to a woman from work.","PDsentence","non-alternating","longIndefinite",5,"F",84,0.781922630030853
"5b92b49921e7200001f530a0","15","Alice admitted a slip-up to a man who was wearing a hat.","PDsentence","non-alternating","longIndefinite",5,"F",77,0.569608494646215
"5b92b49921e7200001f530a0","75","Juan grumbled a man a name.","DOsentence","non-alternating","shortIndefinite",5,"F",37,-0.643615136123146
"5b92b49921e7200001f530a0","71","John furnished some forms to a team.","PDsentence","non-alternating","shortIndefinite",5,"F",30,-0.855929271507784
"5b92b49921e7200001f530a0","27","Mary proposed a man an idea.","DOsentence","non-alternating","shortIndefinite",5,"F",44,-0.431301000738508
"5b92b49921e7200001f530a0","3","Michael reported a man who was from work some numbers.","DOsentence","non-alternating","longIndefinite",5,"F",39,-0.582953954584678
"5b92b49921e7200001f530a0","23","Maria recommended a band to a woman.","PDsentence","non-alternating","shortIndefinite",5,"F",93,1.05489794695396
"5b92b49921e7200001f530a0","127","Michael kicked a football to a woman.","PDsentence","alternating","shortIndefinite",5,"F",78,0.599939085415449
"5b92b49921e7200001f530a0","51","Maria surrendered a woman wearing a hat some guns.","DOsentence","non-alternating","longIndefinite",5,"F",11,-1.43221049612323
"5b92b49921e7200001f530a0","11","Alice presented a man a painting.","DOsentence","non-alternating","shortIndefinite",5,"F",87,0.872914402338555
"5b92b49921e7200001f530a0","151","Alice signaled a formation to a woman from work.","PDsentence","alternating","longIndefinite",5,"F",38,-0.613284545353912
"5b92b49921e7200001f530a0","199","Michael catapulted a container to a man who was wearing a hat.","PDsentence","alternating","longIndefinite",5,"F",70,0.357294359261577
"5b92b49921e7200001f530a0","103","Michael gave a message to a man wearing a hat.","PDsentence","alternating","longIndefinite",5,"F",94,1.08522853772319
"5b92b49921e7200001f530a0","143","Michael floated a bottle to a woman.","PDsentence","alternating","shortIndefinite",5,"F",58,-0.00667272996923145
"5b92b49921e7200001f530a0","195","Linda bequeathed a man a portrait.","DOsentence","alternating","shortIndefinite",5,"F",70,0.357294359261577
"5b92b49921e7200001f530a0","155","Linda shoved a man who was from work a letter.","DOsentence","alternating","longIndefinite",5,"F",19,-1.18956576996936
"5b92b49921e7200001f530a0","123","Linda flew a team from work some weapons.","DOsentence","alternating","longIndefinite",5,"F",23,-1.06824340689242
"5b92b49921e7200001f530a0","87","Maria screeched a thought to a man.","PDsentence","non-alternating","shortIndefinite",5,"F",67,0.266302586953875
"5b92b49921e7200001f530a0","95","Bob stammered a thought to a woman wearing a hat.","PDsentence","non-alternating","longIndefinite",5,"F",77,0.569608494646215
"5b92b49921e7200001f530a0","115","Bob hit a woman a curveball.","DOsentence","alternating","shortIndefinite",5,"F",34,-0.734606908430848
"5b92b49921e7200001f530a0","7","Alice described a headline to a woman.","PDsentence","non-alternating","shortIndefinite",5,"F",99,1.23688149156936
"5b92b49921e7200001f530a0","47","Juan conveyed a thought to a man from work.","PDsentence","non-alternating","longIndefinite",5,"F",95,1.11555912849243
"5b92b49921e7200001f530a0","35","Linda communicated a woman from work a point.","DOsentence","non-alternating","longIndefinite",5,"F",78,0.599939085415449
"5b92b49921e7200001f530a0","179","Mary heaved a man a ball.","DOsentence","alternating","shortIndefinite",5,"F",64,0.175310814646173
"5b92b49921e7200001f530a0","83","Bob squealed a woman from work an answer.","DOsentence","non-alternating","longIndefinite",5,"F",15,-1.31088813304629
"5b92b49921e7200001f530a0","183","Linda loaned some equipment to a man from work.","PDsentence","alternating","longIndefinite",5,"F",99,1.23688149156936
"5b92b49921e7200001f530a0","19","Juan expressed a man who was wearing a hat a thought.","DOsentence","non-alternating","longIndefinite",5,"F",65,0.205641405415407
"5b92b49921e7200001f530a0","39","Michael snapped a comment to a man.","PDsentence","non-alternating","shortIndefinite",5,"F",84,0.781922630030853
"5b92b49921e7200001f530a0","163","Maria phoned a woman a request.","DOsentence","alternating","shortIndefinite",5,"F",74,0.478616722338513
"5b92b49921e7200001f530a0","59","Michael recounted a man some information.","DOsentence","non-alternating","shortIndefinite",5,"F",99,1.23688149156936
"5b92b49921e7200001f530a0","191","Maria carted some books to a team.","PDsentence","alternating","shortIndefinite",5,"F",86,0.842583811569321
"5b92b49921e7200001f530a0","107","Maria brought a woman who was wearing a hat a blanket.","DOsentence","alternating","longIndefinite",5,"F",74,0.478616722338513
"5b92b49921e7200001f530a0","175","John faxed a form to a woman.","PDsentence","alternating","shortIndefinite",5,"F",98,1.20655090080013
"5b92b49921e7200001f530a0","187","Mary lugged a woman from work some groceries.","DOsentence","alternating","longIndefinite",5,"F",67,0.266302586953875
"5b92b49921e7200001f530a0","31","Maria shouted a name to a woman wearing a hat.","PDsentence","non-alternating","longIndefinite",5,"F",84,0.781922630030853
"5b92b49921e7200001f530a0","43","Bob donated a team a painting.","DOsentence","non-alternating","shortIndefinite",5,"F",36,-0.67394572689238
"5b92b49921e7200001f530a0","79","Alice grunted a name to a man who was from work.","PDsentence","non-alternating","longIndefinite",5,"F",92,1.02456735618473
"5b92b49921e7200001f530a0","171","Alice wheeled a man wearing a hat some fruit.","DOsentence","alternating","longIndefinite",5,"F",73,0.448286131569279
"5b92b49921e7200001f530a0","111","Alice offered a payment to a woman.","PDsentence","alternating","shortIndefinite",5,"F",96,1.14588971926166
"5b92b49921e7200001f530a0","119","Juan threw a soda to a woman wearing a hat.","PDsentence","alternating","longIndefinite",5,"F",96,1.14588971926166
"5b92b49921e7200001f530a0","99","John warbled a man from work a greeting.","DOsentence","non-alternating","longIndefinite",5,"F",24,-1.03791281612319
"5b92b49921e7200001f530a0","167","Alice chucked a bag to a woman who was wearing a hat.","PDsentence","alternating","longIndefinite",5,"F",99,1.23688149156936
"5b92b49921e7200001f530a0","139","Mary assigned a woman who was from work a desk.","DOsentence","alternating","longIndefinite",5,"F",93,1.05489794695396
"5b92b49921e7200001f530a0","55","Alice groaned a reply to a man.","PDsentence","non-alternating","shortIndefinite",5,"F",98,1.20655090080013
"5b92b49921e7200001f530a0","135","Linda owed a job to a woman wearing a hat.","PDsentence","alternating","longIndefinite",5,"F",83,0.751592039261619
"5b92b49921e7200001f530a0","159","John willed a painting to a man.","PDsentence","alternating","shortIndefinite",5,"F",39,-0.582953954584678
"60d93de1c8d49e78517751ff","75","Juan grumbled a man a name.","DOsentence","non-alternating","shortIndefinite",5,"F",8,-1.13656025157716
"60d93de1c8d49e78517751ff","131","John slipped a woman a pill.","DOsentence","alternating","shortIndefinite",5,"F",99,1.08242672318193
"60d93de1c8d49e78517751ff","171","Alice wheeled a man wearing a hat some fruit.","DOsentence","alternating","longIndefinite",5,"F",72,0.424045972429237
"60d93de1c8d49e78517751ff","151","Alice signaled a formation to a woman from work.","PDsentence","alternating","longIndefinite",5,"F",86,0.765428583930636
"60d93de1c8d49e78517751ff","19","Juan expressed a man who was wearing a hat a thought.","DOsentence","non-alternating","longIndefinite",5,"F",6,-1.18532919607736
"60d93de1c8d49e78517751ff","67","Alice dispatched a team from work some meals.","DOsentence","non-alternating","longIndefinite",5,"F",80,0.619121750430037
"60d93de1c8d49e78517751ff","163","Maria phoned a woman a request.","DOsentence","alternating","shortIndefinite",5,"F",90,0.862966472931036
"60d93de1c8d49e78517751ff","95","Bob stammered a thought to a woman wearing a hat.","PDsentence","non-alternating","longIndefinite",5,"F",67,0.302123611178738
"60d93de1c8d49e78517751ff","79","Alice grunted a name to a man who was from work.","PDsentence","non-alternating","longIndefinite",5,"F",30,-0.600101862074959
"60d93de1c8d49e78517751ff","99","John warbled a man from work a greeting.","DOsentence","non-alternating","longIndefinite",5,"F",17,-0.917100001326257
"60d93de1c8d49e78517751ff","147","Michael shipped a man a box.","DOsentence","alternating","shortIndefinite",5,"F",70,0.375277027929038
"60d93de1c8d49e78517751ff","183","Linda loaned some equipment to a man from work.","PDsentence","alternating","longIndefinite",5,"F",99,1.08242672318193
"60d93de1c8d49e78517751ff","51","Maria surrendered a woman wearing a hat some guns.","DOsentence","non-alternating","longIndefinite",5,"F",64,0.228970194428438
"60d93de1c8d49e78517751ff","187","Mary lugged a woman from work some groceries.","DOsentence","alternating","longIndefinite",5,"F",11,-1.06340683482686
"60d93de1c8d49e78517751ff","139","Mary assigned a woman who was from work a desk.","DOsentence","alternating","longIndefinite",5,"F",93,0.936119889681335
"60d93de1c8d49e78517751ff","143","Michael floated a bottle to a woman.","PDsentence","alternating","shortIndefinite",5,"F",90,0.862966472931036
"60d93de1c8d49e78517751ff","87","Maria screeched a thought to a man.","PDsentence","non-alternating","shortIndefinite",5,"F",30,-0.600101862074959
